                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.2275,                0.58017,                0.86825,                0.91476,                0.90179,                0.96464,                0.58023,                 1.6158,                 0.7677,                  1.011,              0.0003759,              0.0003759,              0.0003759
                     36,                  1.472,                 0.6787,                0.91391,                0.96829,                0.97035,                  0.995,                0.57433,                 1.6693,                0.77612,                 1.0175,             0.00036336,             0.00036336,             0.00036336
                     37,                 1.3117,                0.59543,                0.91787,                0.96838,                0.97267,                  0.995,                0.56367,                 1.6817,                0.78393,                   1.02,              0.0003495,              0.0003495,              0.0003495
                     38,                 1.3262,                0.63087,                0.88239,                0.96868,                0.97677,                  0.995,                0.56189,                 1.6856,                0.78404,                 1.0171,             0.00033432,             0.00033432,             0.00033432
                     39,                 1.3404,                0.61594,                0.90103,                 0.9687,                0.97724,                  0.995,                0.57282,                 1.6711,                0.79092,                 1.0127,             0.00031782,             0.00031782,             0.00031782
                     40,                 1.4868,                0.67384,                 0.9679,                0.96842,                0.97376,                  0.995,                0.57929,                 1.6573,                0.77644,                  1.012,                 0.0003,                 0.0003,                 0.0003
                     41,                 1.0977,                0.54705,                0.91879,                0.96841,                0.96957,                  0.995,                0.58464,                 1.6311,                0.78209,                 1.0071,             0.00028086,             0.00028086,             0.00028086
                     42,                   1.13,                0.53799,                0.88375,                0.96781,                0.96481,                  0.995,                0.59075,                 1.6206,                0.75984,                 1.0066,              0.0002604,              0.0002604,              0.0002604
                     43,                 1.0175,                0.52669,                0.87179,                0.96745,                0.95439,                  0.995,                0.57334,                 1.6194,                0.74275,                  1.006,             0.00023861,             0.00023861,             0.00023861
                     44,                 1.1373,                0.56139,                0.86487,                0.95685,                0.95356,                  0.995,                0.57565,                 1.6252,                0.72556,                 1.0075,             0.00021551,             0.00021551,             0.00021551
                     45,                 1.1032,                0.54117,                0.87911,                0.95685,                0.95356,                  0.995,                0.57565,                 1.6252,                0.72556,                 1.0075,             0.00019109,             0.00019109,             0.00019109
                     46,                  1.042,                0.49667,                0.85514,                0.93446,                0.96033,                  0.995,                0.57425,                 1.6358,                0.71791,                 1.0106,             0.00016535,             0.00016535,             0.00016535
                     47,                 1.0668,                0.56635,                0.84466,                0.93048,                 0.9635,                  0.995,                0.56751,                 1.6367,                 0.7093,                 1.0103,             0.00013829,             0.00013829,             0.00013829
                     48,                 1.0456,                0.54894,                0.83959,                0.93048,                 0.9635,                  0.995,                0.56751,                 1.6367,                 0.7093,                 1.0103,             0.00010991,             0.00010991,             0.00010991
                     49,                   1.01,                0.50429,                0.85253,                0.93116,                0.96471,                  0.995,                0.57753,                 1.6439,                0.71139,                 1.0098,             8.0203e-05,             8.0203e-05,             8.0203e-05
                     50,                 1.0689,                0.53003,                0.88668,                0.93208,                0.96472,                  0.995,                0.56958,                 1.6425,                0.71046,                  1.008,              4.918e-05,              4.918e-05,              4.918e-05
